日期,價格
2026-05-22,103.9326
2026-05-21,103.3812
2026-05-20,103.0867
2026-05-19,103.2828
2026-05-18,103.2654
2026-05-15,103.466
2026-05-14,104.3328
2026-05-13,103.9958
2026-05-12,103.8537
2026-05-11,104.013
2026-05-08,104.0226
2026-05-07,104.44
2026-05-06,103.9088
2026-05-05,102.9025
2026-05-04,102.9189
2026-04-30,102.4308
2026-04-29,103.1288
2026-04-28,103.2423
2026-04-27,103.5766
2026-04-24,103.4262
2026-04-23,103.4742
2026-04-22,103.6984
2026-04-21,104.1331
2026-04-20,104.0997
2026-04-17,104.1713
2026-04-16,103.865
2026-04-15,103.5673
2026-04-14,103.2777
2026-04-13,102.3134
2026-04-10,102.8815
2026-04-09,102.4691
2026-04-08,102.7125
2026-04-02,100.0287
2026-04-01,100.5439
2026-03-31,99.0562
2026-03-30,98.8093
2026-03-27,98.812
2026-03-26,99.8091
2026-03-25,100.7003
2026-03-24,99.9457
2026-03-23,100.4501
2026-03-20,100.6725
2026-03-19,101.0103
2026-03-18,102.2092
2026-03-17,102.5533
